Mean	SD	union__ngrams__compextract__replacement	union__ngrams__negextract__words_replace	union__ngrams__text_extract__feature	union__ngrams__posextract__expand	union__ngrams__negextract__expand_top_n	union__ngrams__compextract__words_replace	union__ngrams__negextract__expand	union__ngrams__posextract__expand_top_n	union__ngrams__count_grams__binary	union__target_extract__count_grams__binary	union__target_extract__aspect__feature	union__ngrams__posextract__words_replace	union__ngrams__posextract__replacement	union__ngrams__compextract__expand	clf__C	clf__epsilon	union__ngrams__tokeniser__ngram_range	union__ngrams__tokeniser__tokeniser_func	union__ngrams__negextract__replacement 
0.617090315807	0.0460340870918	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615673962484	0.0466935636048	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.616463737905	0.0477206293463	companyname	Poor word	text	None	10	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.616454168743	0.0477150932841	companyname	Poor word	text	None	10	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.616272717626	0.0458148960205	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615009082126	0.0462203153138	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.609900107559	0.0446169347352	companyname	Poor word	text	None	20	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.60989933874	0.0446060351053	companyname	Poor word	text	None	20	train companies	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.616840359258	0.04590155637	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	train companies	None	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615515224439	0.0465397314775	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	10	train companies	None	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615490297033	0.0484502338227	companyname	Poor word	text	None	10	train companies	None	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615478138769	0.0484556788615	companyname	Poor word	text	None	10	train companies	None	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.616834537549	0.0458901361249	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	train companies	None	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615521225168	0.0465397412356	companyname	Poor word	text	Word2Vec(vocab=38074, size=300, alpha=0.025)	20	train companies	None	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615482205272	0.0484498020887	companyname	Poor word	text	None	20	train companies	None	10	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
0.615480672084	0.0484351610383	companyname	Poor word	text	None	20	train companies	None	20	True	True	aspects	Excellent word	posword	None	0.1	0.01	(1, 2)	unitok_tokens	negword
